COG0001	5.4.3.8
COG0002	1.2.1.38
COG0003	3.6.3.16
COG0005	2.4.2.28
COG0006	3.4.11.9
COG0007	2.1.1.107
COG0008	6.1.1.17
COG0009	3.1.3.48
COG0010	3.5.3.11
COG0013	6.1.1.7
COG0014	1.2.1.41
COG0015	4.3.2.2
COG0016	6.1.1.20
COG0017	6.1.1.22
COG0018	6.1.1.19
COG0019	4.1.1.20
COG0020	2.5.1.31
COG0021	2.2.1.1
COG0022	1.2.4.1
COG0024	3.4.11.18
COG0026	6.3.4.18
COG0027	2.1.2.2
COG0028	2.2.1.6
COG0029	1.4.3.16
COG0030	2.1.1.182
COG0031	2.5.1.47
COG0033	5.4.2.2
COG0034	2.4.2.14
COG0035	2.4.2.9
COG0036	5.1.3.1
COG0037	6.3.4.19
COG0039	1.1.1.37
COG0040	2.4.2.17
COG0041	5.4.99.18
COG0042	1.-.-.-
COG0043	4.1.1.-
COG0044	3.5.2.3
COG0045	6.2.1.5
COG0046	6.3.5.3
COG0047	6.3.5.3
COG0051	6.1.1.2
COG0053	3.6.1.-
COG0054	2.5.1.78
COG0055	3.6.3.14
COG0056	3.6.3.14
COG0057	1.2.1.12
COG0058	2.4.1.1
COG0059	1.1.1.86
COG0060	6.1.1.5
COG0061	2.7.1.23
COG0062	1.6.99.3
COG0062	1.6.5.3
COG0072	6.1.1.20
COG0073	6.1.1.20
COG0074	6.2.1.5
COG0077	4.2.1.51
COG0078	2.1.3.3
COG0079	2.6.1.9
COG0082	4.2.3.5
COG0083	2.7.1.39
COG0084	3.1.21.-
COG0085	2.7.7.6
COG0086	2.7.7.6
COG0095	2.7.7.63
COG0096	6.3.2.19
COG0098	2.4.99.18
COG0100	2.7.7.6
COG0101	5.4.99.12
COG0102	2.8.1.8
COG0103	1.14.13.70
COG0104	6.3.4.4
COG0105	2.7.4.6
COG0106	5.3.1.16
COG0107	4.1.3.-
COG0108	4.1.99.12
COG0109	2.5.1.-
COG0111	1.1.1.95
COG0112	2.1.2.1
COG0113	4.2.1.24
COG0114	4.2.1.2
COG0115	2.6.1.42
COG0118	2.4.2.-
COG0119	2.3.3.13
COG0120	5.3.1.6
COG0121	3.4.-.-
COG0121	6.3.5.2
COG0122	3.2.2.21
COG0123	3.5.1.98
