General functional category	Functional category	Functional category (letter)
INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis 	J
INFORMATION STORAGE AND PROCESSING	RNA processing and modification 	A
INFORMATION STORAGE AND PROCESSING	Transcription 	K
INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair 	L
INFORMATION STORAGE AND PROCESSING	Chromatin structure and dynamics 	B
CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning 	D
CELLULAR PROCESSES AND SIGNALING	Nuclear structure 	Y
CELLULAR PROCESSES AND SIGNALING	Defense mechanisms 	V
CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms 	T
CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis 	M
CELLULAR PROCESSES AND SIGNALING	Cell motility 	N
CELLULAR PROCESSES AND SIGNALING	Cytoskeleton 	Z
CELLULAR PROCESSES AND SIGNALING	Extracellular structures 	W
CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport 	U
CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones 	O
CELLULAR PROCESSES AND SIGNALING	Mobilome: prophages, transposons	X
METABOLISM	Energy production and conversion 	C
METABOLISM	Carbohydrate transport and metabolism 	G
METABOLISM	Amino acid transport and metabolism 	E
METABOLISM	Nucleotide transport and metabolism 	F
METABOLISM	Coenzyme transport and metabolism 	H
METABOLISM	Lipid transport and metabolism 	I
METABOLISM	Inorganic ion transport and metabolism 	P
METABOLISM	Secondary metabolites biosynthesis, transport and catabolism 	Q
POORLY CHARACTERIZED	General function prediction only 	R
POORLY CHARACTERIZED	Function unknown 	S
